"","network","plant_richness","pollinator_richness","total_species_richness","richness_ratio"
"1","M_PL_001.csv",84,100,184,1.19047619047619
"2","M_PL_002.csv",43,63,106,1.46511627906977
"3","M_PL_003.csv",36,24,60,0.666666666666667
"4","M_PL_004.csv",12,101,113,8.41666666666667
"5","M_PL_005.csv",96,274,370,2.85416666666667
"6","M_PL_006.csv",17,60,77,3.52941176470588
"7","M_PL_007.csv",16,35,51,2.1875
"8","M_PL_008.csv",11,37,48,3.36363636363636
"9","M_PL_009.csv",24,117,141,4.875
"10","M_PL_010.csv",31,75,106,2.41935483870968
"11","M_PL_011.csv",14,12,26,0.857142857142857
"12","M_PL_012.csv",29,54,83,1.86206896551724
"13","M_PL_013.csv",9,55,64,6.11111111111111
"14","M_PL_014.csv",29,80,109,2.75862068965517
"15","M_PL_015.csv",131,665,796,5.0763358778626
"16","M_PL_016.csv",26,178,204,6.84615384615385
"17","M_PL_017.csv",25,78,103,3.12
"18","M_PL_018.csv",39,104,143,2.66666666666667
"19","M_PL_019.csv",40,84,124,2.1
"20","M_PL_020.csv",20,90,110,4.5
"21","M_PL_021.csv",91,676,767,7.42857142857143
"22","M_PL_022.csv",21,44,65,2.0952380952381
"23","M_PL_023.csv",23,71,94,3.08695652173913
"24","M_PL_024.csv",11,17,28,1.54545454545455
"25","M_PL_025.csv",13,43,56,3.30769230769231
"26","M_PL_026.csv",105,53,158,0.504761904761905
"27","M_PL_027.csv",18,59,77,3.27777777777778
"28","M_PL_028.csv",41,138,179,3.36585365853659
"29","M_PL_029.csv",49,117,166,2.38775510204082
"30","M_PL_030.csv",28,52,80,1.85714285714286
"31","M_PL_031.csv",48,48,96,1
"32","M_PL_032.csv",7,32,39,4.57142857142857
"33","M_PL_033.csv",13,33,46,2.53846153846154
"34","M_PL_034.csv",26,127,153,4.88461538461539
"35","M_PL_035.csv",61,35,96,0.573770491803279
"36","M_PL_036.csv",10,11,21,1.1
"37","M_PL_037.csv",10,39,49,3.9
"38","M_PL_038.csv",8,41,49,5.125
"39","M_PL_039.csv",17,50,67,2.94117647058824
"40","M_PL_040.csv",29,42,71,1.44827586206897
"41","M_PL_041.csv",31,42,73,1.35483870967742
"42","M_PL_042.csv",12,5,17,0.416666666666667
"43","M_PL_043.csv",28,81,109,2.89285714285714
"44","M_PL_044.csv",110,608,718,5.52727272727273
"45","M_PL_045.csv",17,25,42,1.47058823529412
"46","M_PL_046.csv",16,43,59,2.6875
"47","M_PL_047.csv",19,185,204,9.73684210526316
"48","M_PL_048.csv",30,235,265,7.83333333333333
"49","M_PL_049.csv",37,224,261,6.05405405405405
"50","M_PL_050.csv",14,34,48,2.42857142857143
"51","M_PL_051.csv",14,89,103,6.35714285714286
"52","M_PL_052.csv",15,38,53,2.53333333333333
"53","M_PL_053.csv",99,293,392,2.95959595959596
"54","M_PL_054.csv",113,317,430,2.80530973451327
"55","M_PL_055.csv",64,194,258,3.03125
"56","M_PL_056.csv",91,364,455,4
"57","M_PL_057.csv",114,882,996,7.73684210526316
"58","M_PL_058.csv",32,80,112,2.5
"59","M_PL_059.csv",13,12,25,0.923076923076923
